SchoolItem,relation,NewNode
武汉大学,category for alumni of educational institution,Category:武汉大学校友
票,color,彩色
老师,different from,教育学家
单位,described by source,布罗克豪斯-艾佛隆百科词典
电子,antiparticle,正电子
个人,has quality,person property
等级分,topic's main template,Template:Peak rating of chess players
质量,has quality,能量
毕业生,cast member,Eve McVeagh
中国,diplomatic relation,澳大利亚
英语,country,皮特凯恩群岛
单位,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
电子,has superpartner,selectron
个人,has quality,年龄
等级分,different from,Elo
质量,measured by,千克
毕业生,cast member,Kevin Tighe
中国,diplomatic relation,也门
英语,country,卢旺达
单位,described by source,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
电子,interaction,弱相互作用
个人,has quality,人格性
质量,topic's main category,Category:质量
毕业生,director of photography,罗伯特·瑟蒂斯
中国,diplomatic relation,塞尔维亚
英语,country,圣赫勒拿、阿森松和特里斯坦-达库尼亚
单位,described by source,布罗克豪斯-艾佛隆百科词典
电子,interaction,电磁力
个人,has quality,名字
质量,described by source,亚美尼亚苏维埃百科全书
毕业生,film editor,珍爱奥斯汀
中国,diplomatic relation,新加坡
英语,country,圣克里斯多福与尼维斯
单位,described by source,Jewish Encyclopedia of Brockhaus and Efron
电子,interaction,引力
个人,has quality,性别
质量,described by source,ISO 80000-4:2006: Quantities and units—Part 4: Mechanics
毕业生,production designer,Richard Sylbert
中国,diplomatic relation,乌克兰
英语,country,圣卢西亚
单位,described by source,Bible Encyclopedia of Archimandrite Nicephorus
电子,opposite of,空穴
个人,has quality,姓氏
质量,different from,不变质量
毕业生,composer,戴夫·格鲁辛
中国,diplomatic relation,沙特阿拉伯
英语,country,法属圣马丁
单位,described by source,ISO 80000-1:2009: Quantities and units—Part 1: General
电子,topic's main category,Category:电子
个人,opposite of,社会意识
质量,different from,重量
毕业生,producer,劳伦斯·特曼
中国,diplomatic relation,叙利亚
英语,country,圣文森特和格林纳丁斯
单位,different from,允许单位约束
个人,opposite of,社会
质量,said to be the same as,重量
毕业生,producer,约瑟·E·李云
中国,diplomatic relation,大韩民国
英语,country,萨摩亚
单位,different from,量纲
个人,topic's main category,Category:人物
质量,on focus list of Wikimedia project,Wikipedia:基础条目
毕业生,production company,劳伦斯·特曼
中国,diplomatic relation,菲律宾
英语,country,塞舌尔
个人,different from,人格性
毕业生,distributor,富高使馆电影公司
中国,diplomatic relation,白俄罗斯
英语,country,塞拉利昂
个人,said to be the same as,自然人
毕业生,after a work by,Charles Webb
中国,diplomatic relation,日本
英语,country,新加坡
个人,category for eponymous categories,Category:以人物命名的分类
毕业生,soundtrack release,The Graduate – Original Soundtrack Recording
中国,diplomatic relation,土耳其
英语,country,荷属圣马丁
个人,on focus list of Wikimedia project,Wikipedia:人权专题
毕业生,narrative location,洛杉矶
中国,diplomatic relation,巴基斯坦
英语,country,所罗门群岛
毕业生,narrative location,旧金山
中国,diplomatic relation,孟加拉国
英语,country,南非
毕业生,narrative location,加利福尼亚州
中国,diplomatic relation,朝鲜民主主义人民共和国
英语,country,南苏丹
毕业生,filming location,旧金山
中国,diplomatic relation,哈萨克斯坦
英语,country,斯里兰卡
毕业生,filming location,大使酒店
中国,diplomatic relation,印度
英语,country,苏丹
毕业生,color,彩色
中国,diplomatic relation,希腊
英语,country,斯威士兰
毕业生,award received,国家影片登记部
中国,diplomatic relation,斐济
英语,country,坦桑尼亚
专业,instance of,维基数据元类
日期,subclass of,日
网络,instance of,维基媒体消歧义页
科研,subclass of,方法
格式,subclass of,arrangement
刊物,instance of,大众媒体
科学,instance of,科学期刊
毕业生,award received,奥斯卡最佳导演奖
中国,diplomatic relation,阿拉伯联合酋长国
英语,country,托克劳群岛
专业,instance of,一级元类
日期,subclass of,时间点
网络,said to be the same as,Network
科研,subclass of,过程
格式,on focus list of Wikimedia project,WikiProject Q 68235346
官网,topic's main template,Template:Official website
刊物,subclass of,作品
科学,field of work,science
毕业生,nominated for,奥斯卡最佳女配角奖
中国,diplomatic relation,奥地利
英语,country,东加
项目,instance of,概念
bm,instance of,岛群
文章,subclass of,文本
标准,subclass of,规则
汉,instance of,中国历史朝代
基地,instance of,文学作品
专业,subclass of,职业
日期,topic's main template,Template:Months and days
网络,said to be the same as,Netzwerk
科研,part of,研究
官网,topic's main template,Template:Wikidata/P856
刊物,topic's main category,Category:出版品
科学,main subject,science
毕业生,nominated for,奥斯卡最佳男主角奖
中国,diplomatic relation,赤道几内亚
英语,country,千里达及托巴哥
经济学,instance of,学术专业
项目,subclass of,活动
bm,instance of,英国海外领土
文章,subclass of,作品
标准,subclass of,文献
汉,part of,三国
基地,part of the series,基地系列
专业,subclass of,职业
日期,topic's main category,Category:Days of the year
网络,said to be the same as,Réseau
科研,used by,science
官网,topic's main template,Template:Official URL
科学,editor,玛西娅·麦克纳特
毕业生,nominated for,奥斯卡最佳女主角奖
中国,diplomatic relation,波斯
英语,country,特克斯和凯科斯群岛
经济学,subclass of,社会科学
项目,topic's main category,Category:Projects
bm,instance of,行政领土实体
标准,has cause,norm
汉,continent,亚洲
基地,part of the series,基地三部曲
专业,practiced by,专业人士
日期,different from,Data
科研,used by,科学家
科学,publisher,美国科学促进会
毕业生,nominated for,奥斯卡最佳导演奖
中国,diplomatic relation,非洲
英语,country,吐瓦鲁
经济学,part of,economic and social sciences
项目,described by source,亚美尼亚苏维埃百科全书
bm,named after,胡安·百慕大
标准,topic's main category,Category:标准
汉,capital,成都市
基地,genre,科幻小说
专业,topic's main template,Template:Infobox occupation
日期,maintained by WikiProject,WikiProject Calendar Dates
科研,topic's main category,Category:科学方法
科学,country of origin,美国
毕业生,nominated for,奥斯卡最佳摄影奖
中国,diplomatic relation,阿富汗
英语,country,美属维尔京群岛
经济学,practiced by,经济学家
文章,topic's main template,Template:Infobox article
标准,described by source,亚美尼亚苏维埃百科全书
汉,basic form of government,君主制
基地,has edition,Foundation
专业,topic's main category,Category:Professions
科研,described by source,亚美尼亚苏维埃百科全书
毕业生,nominated for,奥斯卡最佳改编剧本奖
中国,diplomatic relation,阿塞拜疆
英语,country,乌干达
经济学,studies,经济
bm,anthem,天佑女王
文章,topic's main category,Category:Articles from periodicals
标准,union of,值作为限定符
汉,head of state,刘备
基地,author,艾萨克·阿西莫夫
专业,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
科研,Wikimedia outline,outline of scientific method
科学,award received,Princess of Asturias Award for Communications and Humanities
毕业生,nominated for,奥斯卡最佳影片奖
中国,diplomatic relation,秘鲁
英语,country,阿拉伯联合酋长国
经济学,studies,商品
bm,country,英国
文章,described by source,亚美尼亚苏维埃百科全书
标准,different from,技术规范
汉,head of state,刘禅
基地,publisher,Gnome Press
专业,different from,职业
科学,award received,乔治·波尔卡新闻奖 George Polk Award
毕业生,ClassInd category,14
中国,diplomatic relation,欧洲联盟
英语,country,英国
经济学,studies,服务
bm,capital,哈密尔顿
文章,has part,新闻标题
标准,facet of,标准化
汉,religion,道教
基地,place of publication,美国
专业,different from,职位
科学,headquarters location,华盛顿哥伦比亚特区
毕业生,CNC film rating (France),no age restriction (U)
中国,diplomatic relation,埃及
英语,country,万那杜
经济学,topic's main template,Template:Economics
bm,located in the administrative territorial entity,英国海外领土
文章,has part,byline
汉,currency,中国古代货币
基地,country of origin,美国
专业,different from,job title
科学,has part,科学月报
毕业生,FSK film rating,FSK 12
中国,diplomatic relation,辛巴威
英语,country,赞比亚
经济学,topic's main template,Template:Economics sidebar
bm,basic form of government,英国海外领土
文章,has part,导言
汉,time period,三国
基地,language of work or name,美国英语
毕业生,has quality,fails the Bechdel Test
中国,diplomatic relation,赞比亚
英语,country,辛巴威
经济学,topic's main category,Category:经济学
bm,head of state,约翰·蓝钦
文章,has part,body of an article
汉,topic's main category,Category:蜀汉
基地,cover art by,David Kyle
毕业生,different from,The Graduate
中国,diplomatic relation,越南
英语,located in the administrative territorial entity,香港
经济学,history of topic,经济思想史
bm,office held by head of government,Premier of Bermuda
文章,different from,冠词
基地,takes place in fictional universe,基地宇宙
中国,diplomatic relation,委内瑞拉
英语,influenced by,法语
经济学,described by source,亚美尼亚苏维埃百科全书
bm,head of government,爱德华·戴伯·伯特
文章,different from,article
基地,characters,哈里·谢顿
中国,diplomatic relation,万那杜
英语,influenced by,德语
经济学,has part,微观经济学
bm,legislative body,百慕达议会
文章,different from,Article
基地,follows,Foundation's Triumph
中国,diplomatic relation,乌拉圭
英语,influenced by,通俗拉丁语
经济学,has part,宏观经济学
bm,central bank,百慕大金融管理局
基地,followed by,基地与帝国
中国,diplomatic relation,英国
英语,studied by,英文系
经济学,has part,计量经济学
bm,diplomatic relation,美国
中国,diplomatic relation,乌干达
英语,linguistic typology,主谓宾结构
经济学,has part,公共经济学
中国,diplomatic relation,突尼西亚
英语,linguistic typology,主宾格语言
经济学,has part,教育经济学
bm,located in time zone,UTC−04:00
中国,diplomatic relation,千里达及托巴哥
英语,linguistic typology,重音节拍语言
经济学,has part,劳动经济学
bm,currency,百慕达元
中国,diplomatic relation,东加
英语,linguistic typology,place–manner–time
经济学,different from,经济
bm,currency,美元
中国,diplomatic relation,多哥
英语,linguistic typology,屈折语
经济学,different from,经济活动
bm,currency,Bermudian pound
中国,diplomatic relation,泰国
英语,has grammatical case,属格
经济学,said to be the same as,economics
bm,currency,英镑
中国,diplomatic relation,坦桑尼亚
英语,has grammatical case,主格
经济学,on focus list of Wikimedia project,Wikipedia:基础条目
bm,owner of,百慕达国际机场
中国,diplomatic relation,塔吉克斯坦
英语,has grammatical case,间接格
经济学,maintained by WikiProject,Wikipedia:经济学专题
bm,flag,百慕大旗帜
中国,diplomatic relation,瑞士
英语,has grammatical mood,已然语气
bm,coat of arms,百慕大纹章
中国,diplomatic relation,瑞典
英语,has grammatical mood,虚拟语气
bm,driving side,左
中国,diplomatic relation,苏利南
英语,has grammatical gender,阳性
bm,electrical plug type,NEMA 1-15
中国,diplomatic relation,苏丹
英语,has grammatical gender,feminine
bm,electrical plug type,NEMA 5-15
中国,diplomatic relation,斯里兰卡
英语,has grammatical gender,neuter
bm,separated from,弗吉尼亚自治领
中国,diplomatic relation,西班牙
英语,has grammatical person,first-person singular
bm,top-level Internet domain,.bm
中国,diplomatic relation,南苏丹
英语,has grammatical person,second-person singular
bm,topic's main Wikimedia portal,Portal:Bermuda
中国,diplomatic relation,南非
英语,has grammatical person,third-person masculine singular
bm,topic's main category,Category:百慕大
中国,diplomatic relation,索马里
英语,has grammatical person,third-person feminine singular
bm,category of associated people,Category:百慕达人
中国,diplomatic relation,塞拉利昂
英语,has grammatical person,third-person neuter singular
bm,category for people who died here,Category:Death in Bermuda
中国,diplomatic relation,塞舌尔
英语,has grammatical person,first-person plural
bm,emergency phone number,911按钮
中国,diplomatic relation,塞内加尔
英语,has grammatical person,second-person plural
bm,geography of topic,百慕大地理
中国,diplomatic relation,圣多美和普林西比
英语,has grammatical person,third-person plural
bm,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
中国,diplomatic relation,萨摩亚
英语,writing system,英语字母
bm,described by source,The Nuttall Encyclopædia
中国,diplomatic relation,卢旺达
英语,writing system,萧伯纳字母
bm,Wikimedia outline,outline of Bermuda
中国,diplomatic relation,罗马尼亚
英语,uses capitalization for,月份
bm,category for maps,Category:Maps of Bermuda
中国,diplomatic relation,刚果共和国
英语,uses capitalization for,宗教
中国,diplomatic relation,葡萄牙
英语,uses capitalization for,星期中的日子
中国,diplomatic relation,波兰
英语,uses capitalization for,区域居民称谓词
中国,diplomatic relation,巴布亚新几内亚
中国,diplomatic relation,巴拿马
英语,uses capitalization for,专有名词
中国,diplomatic relation,巴勒斯坦
英语,signed form,英国手势英语
中国,diplomatic relation,挪威
英语,UNESCO language status,1 无危
中国,diplomatic relation,奈及利亚
英语,Ethnologue language status,1 National
中国,diplomatic relation,新西兰
英语,indigenous to,英格兰
中国,diplomatic relation,荷兰
英语,indigenous to,苏格兰
中国,diplomatic relation,尼泊尔
英语,indigenous to,英国
中国,diplomatic relation,纳米比亚
英语,indigenous to,威尔斯
中国,diplomatic relation,缅甸
英语,indigenous to,爱尔兰共和国
中国,diplomatic relation,莫桑比克
英语,indigenous to,曼岛
学生,instance of,职业
国,subclass of,组织
中国,diplomatic relation,摩洛哥
英语,topic's main Wikimedia portal,Portal:English
学生,subclass of,learner
国,subclass of,群体
中国,diplomatic relation,墨西哥
英语,topic's main category,Category:英语
学生,opposite of,教师
国,subclass of,法人
中国,diplomatic relation,毛里求斯
英语,history of topic,英语史
学生,topic's main category,Category:学生
国,subclass of,政治领土实体
中国,diplomatic relation,毛里塔尼亚
英语,described by source,Great Soviet Encyclopedia (1926–1947)
国,subclass of,行政领土实体
中国,diplomatic relation,马里共和国
英语,described by source,Encyclopedic Lexicon
国,subclass of,国际公法主体
中国,diplomatic relation,马尔代夫
英语,described by source,格拉纳特百科词典
国,owner of,public treasury
中国,diplomatic relation,马来西亚
英语,has part,公认发音
国,owner of,国有
中国,diplomatic relation,马拉维
英语,has part,美国英语
国,topic's main template,Template:Infobox country
中国,diplomatic relation,马达加斯加
英语,has part,澳大利亚英语
国,topic's main category,Category:State (polity)
中国,diplomatic relation,卢森堡
英语,has part,印度英语
国,topic's main category,Category:State
中国,diplomatic relation,立陶宛
英语,has part,加拿大英语
国,described by source,布罗克豪斯-艾佛隆百科词典
中国,diplomatic relation,利比亚
英语,has part,英式英语
国,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
中国,diplomatic relation,利比里亚
英语,has part,苏格兰英语
中国,diplomatic relation,老挝
英语,has part,爱尔兰英语
国,different from,构成国
中国,diplomatic relation,吉尔吉斯斯坦
英语,has part,威尔士英语
国,different from,联邦制下的州
中国,diplomatic relation,吉里巴斯
英语,has part,魁北克英语
国,different from,国籍
中国,diplomatic relation,肯尼亚
英语,has part,加勒比海英语
国,different from,国家
中国,diplomatic relation,牙买加
英语,has part,非洲裔美国人白话英语
国,different from,self-proclaimed state
中国,diplomatic relation,科特迪瓦
英语,different from,英文
国,different from,主权国家
中国,diplomatic relation,爱尔兰共和国
英语,different from,Ingles
国,on focus list of Wikimedia project,Wikipedia:基础条目
中国,diplomatic relation,伊拉克
英语,different from,Inglés
国,on focus list of Wikimedia project,Wikipedia:人权专题
中国,diplomatic relation,印度尼西亚
英语,different from,Yingwen
中国,diplomatic relation,冰岛
英语,said to be the same as,Oldspeak
中国,diplomatic relation,几内亚比索
英语,on focus list of Wikimedia project,Wikipedia:基础条目
中国,diplomatic relation,几内亚
英语,category for films in this language,Category:英语电影
中国,diplomatic relation,格林纳达
英语,related category,Category:English pronunciation
中国,diplomatic relation,迦纳
中国,diplomatic relation,加蓬
中国,diplomatic relation,芬兰
中国,diplomatic relation,密克罗尼西亚联邦
中国,diplomatic relation,厄立特里亚
中国,diplomatic relation,厄瓜多尔
中国,diplomatic relation,东帝汶
中国,diplomatic relation,吉布提
中国,diplomatic relation,丹麦
中国,diplomatic relation,刚果民主共和国
中国,diplomatic relation,捷克
中国,diplomatic relation,赛普勒斯
中国,diplomatic relation,古巴
中国,diplomatic relation,克罗地亚
中国,diplomatic relation,葛摩
中国,diplomatic relation,不丹
中国,diplomatic relation,阿尔巴尼亚
中国,diplomatic relation,阿尔及利亚
中国,diplomatic relation,安哥拉
中国,diplomatic relation,安提瓜和巴布达
中国,diplomatic relation,阿根廷
中国,diplomatic relation,巴哈马
中国,diplomatic relation,比利时
中国,diplomatic relation,加拿大
中国,diplomatic relation,中非共和国
中国,diplomatic relation,贝宁
中国,diplomatic relation,柬埔寨
中国,diplomatic relation,乍得
中国,diplomatic relation,巴巴多斯
中国,diplomatic relation,玻利维亚
中国,diplomatic relation,波札那
中国,diplomatic relation,保加利亚
中国,diplomatic relation,蒲隆地
中国,diplomatic relation,智利
中国,diplomatic relation,汶莱
中国,diplomatic relation,亚美尼亚
中国,diplomatic relation,科索沃
中国,diplomatic relation,梵蒂冈
中国,diplomatic relation,匈牙利
中国,member of,联合国
中国,member of,世界贸易组织
中国,member of,上海合作组织
中国,member of,二十国集团
中国,member of,亚太经济合作组织
中国,member of,国际复兴开发银行
中国,member of,国际开发协会
中国,member of,国际金融公司
中国,member of,多边投资担保机构
中国,member of,国际投资争端解决中心
中国,member of,非洲开发银行
中国,member of,非洲联盟-联合国达尔富尔混合行动
中国,member of,Association of Southeast Asian Nations Regional Forum
中国,member of,亚洲开发银行
中国,member of,金砖国家
中国,member of,加勒比开发银行
中国,member of,联合国安全理事会
中国,member of,国际刑警组织
中国,member of,核供应国集团
中国,member of,禁止化学武器组织
中国,member of,国际航道测量组织
中国,member of,联合国教育、科学与文化组织
中国,member of,Group on Earth Observations
中国,member of,万国邮政联盟
中国,member of,国际电信联盟
中国,public holiday,元旦
中国,public holiday,春节
中国,public holiday,国际妇女节
中国,public holiday,清明节
中国,public holiday,国际劳动节
中国,public holiday,五四青年节
中国,public holiday,中国大陆儿童节
中国,public holiday,中秋节
中国,public holiday,中华人民共和国国庆节
中国,language used,广州话
中国,language used,Buyuan Jinuo
中国,language used,Youle Jinuo
中国,language used,Southern Guiyang language
中国,language used,Southern Bai
中国,language used,Central Bai
中国,language used,Northern Qiandong Miao
中国,language used,白马语
中国,language used,鄂伦春语
中国,language used,Tinani
中国,language used,Kaduo
中国,language used,嘉绒语
中国,language used,金门方言
中国,language used,瓦乡话
中国,language used,U
中国,language used,Katso
中国,language used,标准汉语
中国,language used,Chadong
中国,language used,黎语
中国,language used,莽语
中国,language used,Choyo
中国,language used,撒尼语
中国,language used,五屯话
中国,language used,仡隆语
中国,language used,普标语
中国,language used,苗语滇东北次方言
中国,language used,木雅语
中国,language used,中国手语
中国,language used,标话
中国,language used,佤语
中国,language used,勉方言
中国,language used,Muda
中国,language used,民讲
中国,language used,Micha language
中国,language used,Axi language
中国,language used,佯僙语
中国,language used,Azha
中国,language used,Moji
中国,language used,Azhe
中国,language used,Tai Ya
中国,language used,卫藏方言
中国,language used,Muzi
中国,language used,畲语
中国,language used,巴哼语
中国,language used,布朗语
中国,language used,布芒语
中国,language used,粤语
中国,language used,Biao Min language
中国,language used,Ai-Cham
中国,language used,Naluo language
中国,language used,Zokhuo
中国,language used,文麻壮语
中国,language used,砚广壮语
中国,language used,Paha language
中国,language used,临高语
中国,language used,Bit
中国,language used,桑孔语
中国,language used,Phupha language
中国,language used,Choni
中国,language used,西摩洛语
中国,language used,柔若语
中国,language used,Pholo
中国,language used,Phola language
中国,language used,草苗
中国,language used,阿车语
中国,language used,苗语支
中国,language used,Samatao
中国,language used,Samei
中国,language used,Gepo
中国,language used,Bugan
中国,language used,⿰亻革家话
中国,language used,Awu Yi language
中国,language used,Tseku
中国,language used,山苏语
中国,language used,Dzao Min
中国,language used,Guiqiong
中国,language used,拉坞戎语
中国,language used,水语
中国,language used,Sanie
中国,language used,仫佬语
中国,language used,毛南语
中国,language used,Hu
中国,language used,康家语
中国,language used,红金傣语
中国,language used,Sonaga
中国,language used,Small Flowery Miao
中国,language used,加茂语
中国,language used,傣端语
中国,language used,Man Met
中国,language used,堂郎语
中国,language used,Thopho
中国,language used,拉珈语
中国,language used,Khlula
中国,language used,阿罗语
中国,language used,Mak
中国,language used,Kathu
中国,language used,Akeu
中国,language used,尔苏语
中国,language used,Kon Keu
中国,language used,Kua-nsi
中国,language used,Kuan language
中国,language used,Kuamasi
中国,language used,苗语川黔滇次方言
中国,language used,内蒙古方言
中国,language used,Bolyu
中国,language used,勒期语
中国,language used,Lang'e
中国,language used,Lawu
中国,language used,Lamu
中国,language used,Lama language
中国,language used,德靖壮语
中国,language used,邕南壮语
中国,language used,邕北土语
中国,language used,布依语
中国,language used,苗语罗泊河次方言
中国,language used,Pa Di
中国,language used,右江壮语
中国,language used,阿迪语
中国,language used,闽中语
中国,language used,彝语中部方言
中国,language used,Hm Nai language
中国,language used,义都语
中国,language used,怒苏语
中国,language used,傈僳语
中国,language used,晋语
中国,language used,独龙语
中国,language used,达让语
中国,language used,Limi
中国,language used,傣担语
中国,language used,东红水河壮语
中国,language used,Lachi
中国,language used,左江壮语
中国,language used,布努语
中国,language used,Mili
中国,language used,安多方言
中国,language used,Groma
中国,language used,徽语
中国,language used,莆仙语
中国,language used,羌语
中国,language used,Southern Qiang
中国,language used,阿昌语
中国,language used,拉乌语
中国,language used,阿卡语
中国,language used,康方言
中国,language used,诶话
中国,language used,侗语
中国,language used,载瓦语
中国,language used,Laomian
中国,language used,尔龚语
中国,language used,Honi
中国,language used,Piyo language
中国,language used,纳木依语
中国,language used,波拉语
中国,language used,Zakhring
中国,language used,汉语
中国,language used,拉祜语
中国,language used,Lipo
中国,language used,哈尼语
中国,language used,闽东语
中国,language used,闽北语
中国,language used,官话
中国,language used,越南语
中国,language used,闽南语
中国,language used,柯尔克孜语
中国,language used,夏尔巴语
中国,language used,德宏傣语
中国,language used,哈萨克语
中国,language used,傣仂语
中国,language used,Zhaba
中国,language used,史兴语
中国,language used,格曼语
中国,language used,Kiong Nai
中国,language used,优诺语
中国,language used,维吾尔语
中国,language used,壮语
中国,language used,锡伯语
中国,language used,仓洛语
中国,language used,湘语
中国,language used,艾努语
中国,language used,达斡尔语
中国,language used,东乡语
中国,language used,保安语
中国,language used,客家话
中国,language used,克木语
中国,language used,鄂温克语
中国,language used,东部裕固语
中国,language used,景颇语
中国,language used,伊犁土尔克语
中国,language used,赣语
中国,language used,满语
中国,language used,色勒库尔语
中国,language used,西部裕固语
中国,language used,回辉话
中国,language used,彝语北部方言
中国,language used,撒拉语
中国,language used,土族语
中国,language used,藏语
中国,language used,吴语
中国,language used,Awa
中国,language used,Langnian Buyang
中国,language used,Northern Pumi
中国,language used,Hmong Njua
中国,language used,Hmong Daw
中国,language used,Southern Pumi
中国,language used,Parauk
中国,language used,Western Xiangxi language
中国,language used,Red Gelao
中国,language used,Yerong
中国,language used,White Gelao
中国,language used,Biao Mon
中国,language used,木佬语
中国,language used,Alugu
中国,language used,Southern Tujia
中国,language used,Panyi Bai
中国,language used,Southern Lolopo
中国,language used,Kyerung
中国,language used,Lopi
中国,language used,Wusa Nasu
中国,language used,Xishanba Lalo
中国,language used,Nisi language
中国,language used,Dongshanba Lalo
中国,language used,北部土家语
中国,language used,Eastern Lalu
中国,language used,Western Lalu
中国,language used,Central Mashan language
中国,language used,Southern Qiandong language
中国,language used,Northern Mashan language
中国,language used,Southern Mashan language
中国,language used,Rumai Palaung
中国,language used,Central Huishui language
中国,language used,Eastern Huishui language
中国,language used,Southwestern Huishui language
中国,language used,Western Mashan language
中国,language used,Northern Guiyang language
中国,language used,Lhomi
中国,language used,A'ou
中国,language used,E'ma Buyang
中国,language used,Qau
中国,language used,Northern Dong
中国,language used,Guibei Zhuang
中国,language used,Liujiang Zhuang
中国,language used,Guibian Zhuang
中国,language used,Qiubei Zhuang
中国,language used,Ayizi
中国,language used,China Buriat
中国,language used,Narua
中国,language used,Northern Nisu
中国,language used,Wumeng Nasu
中国,language used,Lahu Shi
中国,language used,Hmong Shua
中国,language used,Stodse
中国,language used,Wuding-Luquan Yi
中国,language used,Eastern Nisu
中国,language used,Chesu
中国,language used,Wunai Bunu
中国,language used,Southwestern Guiyang language
中国,language used,Eastern Xiangxi language
中国,language used,Northern Huishui language
中国,language used,Kemiehua
中国,language used,Eastern Qiandong language
中国,language used,Alo Phola
中国,language used,Phala
中国,language used,Ani Phowa
中国,language used,Northwestern Nisu language
中国,language used,Phupa language
中国,language used,Phuza language
中国,language used,Qila Muji
中国,language used,Northern Muji
中国,language used,Southern Muji language
中国,language used,Southern Nisu language
中国,language used,Southwestern Nisu language
中国,language used,Bokha language
中国,language used,Liuqian Zhuang
中国,language used,Labo Phowa
中国,language used,Horned Miao language
中国,language used,Hlepho Phowa language
中国,language used,Lianshan Zhuang
中国,language used,Phuma language
中国,language used,Central Hongshuihe Zhuang
中国,language used,门巴语
中国,replaces,中华民国 (1912–1949)
中国,replaces,内蒙古人民共和国
中国,replaces,中华民国
中国,ethnic group,汉族
中国,ethnic group,壮族
中国,ethnic group,中国蒙古族
中国,ethnic group,回族
中国,ethnic group,藏族
中国,ethnic group,维吾尔族
中国,ethnic group,苗族
中国,ethnic group,彝族
中国,ethnic group,布依族
中国,ethnic group,中国朝鲜族
中国,ethnic group,满族
中国,ethnic group,瑶族
中国,ethnic group,白族
中国,ethnic group,土家族
中国,ethnic group,哈尼族
中国,ethnic group,中国哈萨克族
中国,ethnic group,黎族
中国,ethnic group,傈僳族
中国,ethnic group,侗族
中国,participant of,G4集团
中国,participant of,五国集团
中国,participant of,China-CELAC Forum
中国,contains administrative territorial entity,北京市
中国,contains administrative territorial entity,天津市
中国,contains administrative territorial entity,河北省
中国,contains administrative territorial entity,山西省
中国,contains administrative territorial entity,内蒙古自治区
中国,contains administrative territorial entity,辽宁省
中国,contains administrative territorial entity,吉林省
中国,contains administrative territorial entity,黑龙江省
中国,contains administrative territorial entity,上海市
中国,contains administrative territorial entity,江苏省
中国,contains administrative territorial entity,浙江省
中国,contains administrative territorial entity,安徽省
中国,contains administrative territorial entity,福建省
中国,contains administrative territorial entity,江西省
中国,contains administrative territorial entity,山东省
中国,contains administrative territorial entity,河南省
中国,contains administrative territorial entity,湖南省
中国,contains administrative territorial entity,广东省
中国,contains administrative territorial entity,广西壮族自治区
中国,contains administrative territorial entity,海南省
中国,contains administrative territorial entity,重庆市
中国,contains administrative territorial entity,四川省
中国,contains administrative territorial entity,贵州省
中国,contains administrative territorial entity,云南省
中国,contains administrative territorial entity,香港
中国,contains administrative territorial entity,西藏自治区
中国,contains administrative territorial entity,陕西省
中国,contains administrative territorial entity,甘肃省
中国,contains administrative territorial entity,青海省
中国,contains administrative territorial entity,宁夏回族自治区
中国,contains administrative territorial entity,新疆维吾尔自治区
中国,contains administrative territorial entity,澳门
中国,contains administrative territorial entity,台湾省
中国,contains administrative territorial entity,平原省
中国,located in time zone,北京时间
中国,located in time zone,东八区
中国,currency,人民币
中国,location of formation,天安门
中国,shares border with,蒙古国
中国,shares border with,哈萨克斯坦
中国,shares border with,吉尔吉斯斯坦
中国,shares border with,塔吉克斯坦
中国,shares border with,巴基斯坦
中国,shares border with,印度
中国,shares border with,尼泊尔
中国,shares border with,不丹
中国,shares border with,缅甸
中国,shares border with,老挝
中国,shares border with,越南
中国,shares border with,俄罗斯
中国,shares border with,朝鲜民主主义人民共和国
中国,shares border with,阿富汗
中国,shares border with,大韩民国
中国,shares border with,日本
中国,shares border with,苏联
中国,flag,中华人民共和国国旗
中国,coat of arms,中华人民共和国国徽
中国,driving side,右
中国,electrical plug type,NEMA 1-15
中国,electrical plug type,欧式插头
中国,electrical plug type,AS/NZS 3112
中国,has quality,“不自由”国家
中国,top-level Internet domain,.cn
中国,top-level Internet domain,.中国
中国,top-level Internet domain,.中国
中国,topic's main Wikimedia portal,Portal:中华人民共和国
中国,topic's main template,Template:China topics
中国,topic's main category,Category:中华人民共和国
中国,category of associated people,Category:中国人
中国,category for people born here,Category:Births in China
中国,category for people who died here,Category:中国非正常死亡人物
中国,category for films shot at this location,Category:中国取景电影
中国,emergency phone number,119
中国,emergency phone number,110 (紧急电话号码)
中国,emergency phone number,120
中国,geography of topic,中国地理
中国,history of topic,中华人民共和国历史
中国,described by source,Nordisk familjebok
中国,described by source,Jewish Encyclopedia of Brockhaus and Efron
中国,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
中国,described by source,布罗克豪斯-艾佛隆百科词典
中国,described by source,亚美尼亚苏维埃百科全书
中国,described by source,Sytin Military Encyclopedia
中国,on focus list of Wikimedia project,Wikipedia:基础条目
中国,on focus list of Wikimedia project,WikiProject Zika Corpus
中国,Wikimedia outline,中华人民共和国概述
中国,railway traffic side,左
中国,category for maps,Category:中国地图
